Pose_Class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
Tree,172,176,162,160,99,128,179,38,176,103
Tree,163,149,92,90,83,152,177,39,174,136
Tree,49,34,49,52,91,156,169,25,141,126
Tree,53,28,37,48,86,152,174,25,159,127
Tree,22,22,56,53,113,99,41,174,93,173
Tree,179,169,130,126,89,144,175,46,174,140
Tree,163,153,84,96,81,149,172,22,135,122
Tree,172,180,147,157,87,155,174,26,135,106
Tree,179,166,164,175,140,94,31,176,130,164
Tree,158,156,84,102,81,140,169,50,158,133
Tree,45,52,52,46,145,86,26,174,122,163
Tree,70,63,87,85,83,150,177,20,168,132
Tree,178,175,178,177,138,86,48,175,121,178
Tree,23,25,172,169,112,107,43,179,100,178
Tree,170,160,174,171,98,130,178,43,176,110
Tree,45,24,46,49,87,149,175,23,167,124
Tree,50,41,37,35,87,147,177,22,115,126
Tree,14,12,29,30,100,112,180,29,176,82
Tree,164,169,118,121,149,92,21,171,139,157
Tree,23,16,34,37,93,138,172,26,174,109
Tree,8,170,76,146,123,83,31,177,159,158
Tree,167,145,78,72,86,155,171,13,100,155
Tree,164,152,80,86,88,148,178,32,150,130
Tree,57,42,40,46,85,151,176,55,153,136
Tree,172,176,162,160,99,128,179,38,176,103
Tree,49,34,49,52,91,156,169,25,141,126
Tree,177,174,146,155,148,88,23,175,142,157
Tree,37,40,65,59,130,83,95,168,154,149
Tree,180,178,174,176,16,164,174,175,122,124
Tree,25,20,39,44,107,111,176,44,179,98
Tree,42,146,173,176,87,150,158,60,130,97
Tree,159,133,160,173,87,114,179,36,180,150
Tree,176,178,141,154,88,148,178,45,170,122
Tree,177,172,169,174,112,105,28,180,109,176
Tree,173,166,133,126,83,150,178,18,158,109
Tree,165,169,135,124,79,158,173,12,173,129
Tree,146,162,162,167,89,152,176,31,167,155
Tree,55,28,37,47,87,152,172,24,160,127
Tree,60,50,46,49,90,151,165,18,154,118
Tree,42,146,173,176,87,150,158,60,130,97
Tree,163,136,71,70,86,147,177,44,175,139
Tree,15,178,109,160,96,92,22,180,122,162
Tree,35,19,45,39,87,149,179,23,157,120
Tree,175,178,155,150,146,93,27,180,129,174
Tree,176,176,141,151,87,147,178,46,169,122
Tree,174,168,125,127,89,125,179,32,149,112
Tree,176,175,174,172,87,130,179,38,165,101
Tree,165,170,145,143,92,150,171,24,170,125
Tree,163,149,92,90,83,152,177,39,174,136
Tree,153,141,173,166,92,107,170,130,180,147
Tree,173,180,176,171,112,113,179,27,59,134
Tree,65,46,38,34,86,156,178,23,148,137
Tree,156,164,163,165,145,84,21,175,134,172
Tree,70,63,86,85,84,150,179,21,170,123
Tree,173,175,142,142,100,111,34,178,98,167
Tree,155,161,90,93,147,91,32,165,128,149
Tree,23,19,40,42,96,122,179,32,178,97
Tree,32,31,50,46,89,124,178,100,175,151
Tree,175,23,129,126,91,149,172,28,147,100
Tree,43,21,33,40,88,143,180,20,140,127
Tree,173,149,116,84,139,85,39,161,150,103
Tree,140,154,58,65,154,87,13,177,144,158
Tree,178,175,178,177,138,86,48,175,121,178
Tree,17,15,42,41,113,100,60,180,120,167
Tree,180,180,139,139,146,84,20,180,146,180
Tree,178,170,174,174,86,138,179,39,169,114
Tree,30,24,47,43,94,124,178,39,172,115
Tree,179,176,163,167,121,105,43,178,122,161
Tree,180,180,139,139,146,84,20,180,146,180
Tree,52,43,48,37,91,152,174,23,170,131
Tree,42,0,20,61,84,142,174,28,173,110
Tree,23,15,35,37,92,139,172,26,176,111
Tree,164,158,100,106,96,141,3,33,29,105
Tree,25,27,52,55,132,100,38,179,115,179
Tree,24,27,54,56,131,100,40,180,116,180
Tree,155,156,170,174,94,120,180,31,160,97
Tree,173,175,142,142,100,111,34,178,98,167
Tree,173,168,169,168,102,122,176,41,171,117
Tree,140,153,175,171,129,95,27,175,103,158
Tree,148,133,170,164,95,144,179,33,171,112
Tree,56,51,35,42,159,72,20,164,141,164
Tree,25,20,34,32,110,109,176,57,179,116
Tree,153,141,173,166,92,107,170,130,180,147
Tree,156,164,164,165,145,84,21,175,134,173
Tree,38,35,54,48,94,135,177,27,178,107
Tree,21,14,43,44,96,111,179,29,174,81
Tree,179,159,115,112,82,139,178,63,178,96
Tree,44,0,20,62,87,140,176,30,172,110
Tree,25,29,56,41,94,146,180,27,166,112
Tree,179,176,163,167,121,105,43,178,122,161
Tree,42,26,42,47,82,153,179,21,171,123
Tree,19,17,58,51,114,103,42,176,92,168
Tree,157,178,173,165,93,156,179,6,147,158
Tree,150,167,94,98,148,79,58,176,144,179
Tree,44,13,24,83,163,84,27,172,129,126
Tree,148,158,166,161,162,80,16,172,126,177
Tree,33,31,54,58,141,91,32,180,119,174
Tree,21,26,54,49,122,94,40,177,102,167
Tree,175,23,129,126,91,149,172,28,147,100
Tree,141,153,176,173,129,95,27,175,101,153
Tree,174,167,140,157,150,84,22,175,125,161
Tree,118,138,165,177,139,91,28,177,123,171
Tree,61,45,42,45,89,154,172,26,178,128
Tree,38,35,54,48,94,135,177,27,178,107
Tree,159,176,175,173,88,161,177,19,160,151
Tree,173,166,133,126,83,150,178,18,158,109
Tree,21,19,57,52,120,101,39,175,94,170
Tree,30,24,47,43,94,124,178,39,172,115
Tree,167,168,115,118,145,93,25,173,137,159
Tree,136,133,146,140,148,75,18,172,124,159
Tree,16,9,34,23,110,108,176,46,174,100
Tree,176,180,153,146,146,93,28,179,127,176
Tree,169,174,151,152,91,142,179,28,156,102
Tree,173,168,169,168,102,122,176,41,171,117
Tree,33,31,54,58,141,91,32,180,119,174
Tree,42,32,43,46,150,88,27,178,112,171
Tree,44,26,68,60,93,152,179,20,166,104
Tree,165,170,145,143,92,150,171,24,170,125
Tree,19,13,41,37,102,119,176,33,175,99
Tree,177,171,171,171,80,149,177,19,168,119
Tree,21,26,54,49,122,94,40,177,102,167
Tree,149,173,91,97,158,82,28,174,145,175
Tree,179,163,125,123,85,153,178,20,179,114
Tree,21,12,30,32,103,116,173,43,177,101
Tree,32,32,54,51,131,90,36,172,108,170
Tree,14,3,11,34,120,109,60,179,123,159
Tree,172,175,168,174,128,89,28,180,102,115
Tree,180,178,174,176,16,164,174,175,122,124
Dog,174,179,166,171,68,112,170,178,132,114
Dog,178,173,178,156,72,105,179,176,125,115
Dog,177,178,171,174,81,99,169,168,119,121
Dog,157,157,166,164,35,143,177,171,126,126
Dog,179,177,167,169,167,12,178,180,129,132
Dog,179,179,174,177,151,30,171,172,72,73
Dog,167,172,174,178,8,171,175,175,116,117
Dog,165,167,168,146,161,18,179,179,107,123
Dog,170,171,168,171,56,126,175,180,124,121
Dog,168,168,158,160,94,86,178,180,113,108
Dog,166,174,172,174,42,135,180,173,130,103
Dog,176,176,153,155,102,78,179,179,113,111
Dog,170,171,157,160,59,121,177,176,134,130
Dog,175,172,155,157,176,4,174,165,109,119
Dog,158,160,174,176,128,52,174,175,115,117
Dog,179,179,163,163,91,88,178,179,115,115
Dog,161,165,171,170,43,137,177,176,111,118
Dog,148,156,172,177,31,151,175,178,106,108
